MainAddressVoivodeship,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,all,lon,lat
dolnośląskie,398,3045,6186,9343,11912,13408,14399,14948,15305,15362,22812,16.418838223140494,51.051991115702464
kujawsko-pomorskie,521,2605,5136,7126,8567,9442,10049,10413,10673,10721,15186,18.50465,53.05585
lubelskie,297,1909,3784,5396,6677,7510,8102,8445,8681,8722,12775,22.855377,51.1783
lubuskie,311,1365,2544,3634,4436,4978,5306,5473,5612,5634,7940,15.255278,52.204588
mazowieckie,676,5245,10538,15989,20313,23368,25427,26546,27321,27444,44366,21.1938,52.24745
małopolskie,753,3484,6976,9949,12551,14167,15164,15738,16174,16231,25047,20.2524,49.8479
opolskie,95,798,1614,2359,2927,3358,3640,3787,3888,3903,5840,17.87957909090909,50.61812515151515
podkarpackie,223,1691,3422,4871,6066,6790,7246,7493,7672,7702,11625,22.179033928571414,49.96743124999999
podlaskie,197,1190,2299,3192,3860,4375,4767,4938,5087,5107,7700,22.923747,53.241434
pomorskie,632,3021,5934,8596,10694,12028,12849,13310,13659,13708,20561,18.173900000000003,54.1637
warmińsko-mazurskie,452,1760,3062,4332,5238,5885,6262,6493,6632,6653,9291,20.814117,53.79802900000001
wielkopolskie,338,3358,7210,10461,13285,15119,16330,16987,17485,17563,26974,17.248567,52.213287
zachodniopomorskie,528,2631,4880,7316,9035,10176,10862,11218,11445,11473,16190,15.552499999999998,53.5972
łódzkie,337,2401,4947,7157,8804,9953,10735,11184,11482,11551,17333,19.3665,51.61865
śląskie,580,3893,7765,11565,14574,16568,17907,18630,19128,19204,29035,18.920616,50.324474
świętokrzyskie,217,1269,2441,3431,4281,4798,5141,5372,5527,5550,7988,20.7867,50.764
